"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"9165667010661","9165666010661",1985,9,1,1,5,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,29,5,5,,,,,,,,,,,,,,36.3121,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165677010661","9165676010661",1985,9,1,1,6,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,39,5,5,,,,,,,,,,,,,,100.3436,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165698010661","9165697010661",1985,9,1,1,7,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165700010661","9165699010661",1985,9,1,1,10,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,19,5,5,,,,,,,,,,,,,,138.6411,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165751010661","9165750010661",1985,9,1,1,11,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165753010661","9165752010661",1985,9,1,1,13,1,2,,,46,40,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165761010661","9165760010661",1985,9,1,1,15,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,29,5,5,,,,,,,,,,,,,,41.1527,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165780010661","9165779010661",1985,9,1,1,16,1,2,,,,,,,,,,,,,,,,,,,"",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,,,,,,,,,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165782010661","9165781010661",1985,9,1,1,18,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,29,5,5,,,,,,,,,,,,,,78.1492,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
"9165802010661","9165801010661",1985,9,1,1,20,1,1,,0,46,40,,,100,,,0,,,6,,50,,0,,"",1,1,1,,0,0,29,5,5,,,,,,,,,,,,,,74.8503,,,,,"","","","","","","","",,,,.268066,6.155982,34.851718,0,.842393,.093599,"",2003-09-26,"10661","",2009-10-28,"10661",3,0,"","",,,,"",,,,,,,,,,,,,,,,,,,,,,,""
